2025-01-21 00:44:08.667 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper [] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaojusurvey.engine.controller.SurveyResponseControllerTest], using DelegatingSmartContextLoader
2025-01-21 00:44:08.678 [main] INFO  o.s.t.c.s.AbstractContextLoader [] - Could not detect default resource locations for test class [com.xiaojusurvey.engine.controller.SurveyResponseControllerTest]: no resource found for suffixes {-context.xml}.
2025-01-21 00:44:08.678 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [] - Could not detect default configuration classes for test class [com.xiaojusurvey.engine.controller.SurveyResponseControllerTest]: SurveyResponseControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-01-21 00:44:08.762 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper [] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-01-21 00:44:08.789 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper [] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@cb0755b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33065d67, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@712625fd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7bba5817, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@742ff096, org.springframework.test.context.support.DirtiesContextTestExecutionListener@75437611, org.springframework.test.context.transaction.TransactionalTestExecutionListener@350aac89, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1c5920df, org.springframework.test.context.event.EventPublishingTestExecutionListener@17f9d882, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@79e4c792, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@196a42c3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4c60d6e9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@15043a2f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4a83a74a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1349883]
2025-01-21 00:44:32.292 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper [] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaojusurvey.engine.controller.SurveyResponseControllerTest], using DelegatingSmartContextLoader
2025-01-21 00:44:32.308 [main] INFO  o.s.t.c.s.AbstractContextLoader [] - Could not detect default resource locations for test class [com.xiaojusurvey.engine.controller.SurveyResponseControllerTest]: no resource found for suffixes {-context.xml}.
2025-01-21 00:44:32.308 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [] - Could not detect default configuration classes for test class [com.xiaojusurvey.engine.controller.SurveyResponseControllerTest]: SurveyResponseControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-01-21 00:44:32.412 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper [] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-01-21 00:44:32.443 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper [] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@33065d67, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@712625fd, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7bba5817, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@742ff096, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@75437611, org.springframework.test.context.support.DirtiesContextTestExecutionListener@350aac89, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c5920df, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@17f9d882, org.springframework.test.context.event.EventPublishingTestExecutionListener@79e4c792, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@196a42c3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4c60d6e9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@15043a2f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a83a74a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1349883, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4b29d1d2]
2025-01-21 00:45:32.440 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper [] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaojusurvey.engine.controller.SurveyResponseControllerTest], using DelegatingSmartContextLoader
